symbol,date,open,high,low,close,volume,adjusted
GOOGL,2020-01-02,67.420501708984375,68.43399810791016,67.32450103759766,68.43399810791016,27278000,67.9652328491211
GOOGL,2020-01-03,67.4000015258789,68.6875,67.365997314453125,68.07599639892578,23408000,67.60968780517578
GOOGL,2020-01-06,67.58149719238281,69.91600036621094,67.55000305175781,69.8905029296875,46768000,69.41175842285156
GOOGL,2020-01-07,70.02300262451172,70.17500305175781,69.5780029296875,69.75550079345703,34330000,69.2776870727539
GOOGL,2020-01-08,69.740997314453125,70.592498779296875,69.631500244140625,70.25199890136719,35314000,69.770782470703125
GOOGL,2020-01-09,71.09649658203125,71.43399810791016,70.510498046875,70.989501953125,33200000,70.50322723388672
GOOGL,2020-01-10,71.47350311279297,71.74700164794922,70.9800033569336,71.447998046875,26258000,70.958587646484375
GOOGL,2020-01-13,71.76249694824219,72.0739974975586,71.26850128173828,72.00150299072266,30730000,71.50829315185547
GOOGL,2020-01-14,72,72.131500244140625,71.38849639892578,71.52950286865234,26076000,71.03953552246094
GOOGL,2020-01-15,71.6510009765625,72.03900146484375,71.58300018310547,71.95999908447266,21550000,71.46708679199219
GOOGL,2020-01-16,72.27249908447266,72.535003662109375,72,72.50800323486328,26080000,72.01133728027344
GOOGL,2020-01-17,73.12699890136719,74.027496337890625,72.82749938964844,73.97599792480469,52424000,73.46927642822266
GOOGL,2020-01-21,73.94999694824219,74.49400329589844,73.510498046875,74.11250305175781,48930000,73.60484313964844
GOOGL,2020-01-22,74.48650360107422,75.02899932861328,74.13300323486328,74.19349670410156,28458000,73.6852798461914
GOOGL,2020-01-23,74.37750244140625,74.67500305175781,74.01599884033203,74.2344970703125,26650000,73.72599792480469
GOOGL,2020-01-24,74.64099884033203,74.70999908447266,73.15899658203125,73.308502197265625,29786000,72.80634307861328
GOOGL,2020-01-27,71.5770034790039,71.8290023803711,70.9749984741211,71.58650207519531,34132000,71.09615325927734
GOOGL,2020-01-28,72.08699798583984,72.73999786376953,71.51799774169922,72.5250015258789,29724000,72.0282211303711
GOOGL,2020-01-29,72.9229965209961,73.207000732421875,72.269500732421875,72.83499908447266,21566000,72.336090087890625
GOOGL,2020-01-30,71.904998779296875,72.76249694824219,71.75,72.7125015258789,27110000,72.21442413330078
GOOGL,2020-01-31,73.39299774169922,73.4834976196289,71.352996826171875,71.63899993896484,43822000,71.14827728271484
GOOGL,2020-02-03,73.0824966430664,74.31500244140625,72.83049774169922,74.12999725341797,71636000,73.6222152709961
GOOGL,2020-02-04,72.72450256347656,73.36699676513672,71.10150146484375,72.27050018310547,95880000,71.77545928955078
GOOGL,2020-02-05,73.18049621582031,73.22899627685547,71.48400115966797,72.30249786376953,36376000,71.80723571777344
GOOGL,2020-02-06,72.5989990234375,74.0780029296875,72.52400207519531,73.79850006103516,37822000,73.29298400878906
GOOGL,2020-02-07,73.36949920654297,74.26249694824219,73.27050018310547,73.95549774169922,28360000,73.44891357421875
GOOGL,2020-02-10,73.86150360107422,75.444000244140625,73.76000213623047,75.43299865722656,38302000,74.916290283203125
GOOGL,2020-02-11,75.66349792480469,76.49400329589844,75.27249908447266,75.50299835205078,34852000,74.9858169555664
GOOGL,2020-02-12,75.792999267578125,76.01499938964844,75.433502197265625,75.93150329589844,31042000,75.41138458251953
GOOGL,2020-02-13,75.5,76.29750061035156,75.19999694824219,75.66950225830078,22914000,75.15117645263672
GOOGL,2020-02-14,75.72650146484375,76.00250244140625,75.277496337890625,75.9365005493164,23198000,75.41634368896484
GOOGL,2020-02-18,75.71700286865234,76.52799987792969,75.55049896240234,75.97200012207031,25642000,75.45160675048828
GOOGL,2020-02-19,76.36000061035156,76.53700256347656,76.04900360107422,76.243499755859375,22746000,75.72124481201172
GOOGL,2020-02-20,75.95050048828125,76.35350036621094,75.21299743652344,75.84950256347656,25962000,75.32994079589844
GOOGL,2020-02-21,75.22899627685547,75.54750061035156,73.92449951171875,74.1729965209961,42520000,73.66490936279297
GOOGL,2020-02-24,71.152496337890625,71.819000244140625,70.3395004272461,70.99299621582031,49560000,70.50670623779297
GOOGL,2020-02-25,71.55000305175781,71.842498779296875,69.02100372314453,69.31600189208984,51580000,68.84120178222656
GOOGL,2020-02-26,69.7490005493164,70.683502197265625,68.82749938964844,69.52349853515625,49776000,69.04727935791016
GOOGL,2020-02-27,67.957000732421875,68.470001220703125,65.71199798583984,65.74749755859375,62290000,65.29713439941406
GOOGL,2020-02-28,63.71549987792969,67.12249755859375,63.410499572753906,66.9625015258789,80198000,66.503814697265625
GOOGL,2020-03-02,67.56950378417969,69.37349700927734,66.26000213623047,69.31600189208984,55430000,68.84120178222656
GOOGL,2020-03-03,69.884002685546875,70.40950012207031,66.46199798583984,66.88600158691406,56602000,66.4278335571289
